Reviewer,Citation abbrv,Scientific Name,Common Name,Method Binary,Method,Country,Site,Latitude,Longitude,Pp. - details,Type 0 (pp),Type 0 (tp),Type I,Type II,Type III,Type IV,Cause 1,Cause 2,Cause 3,Cause 4
LT,Nelson and Mech 1981,Odocoileus virginianus,white-tailed deer,Yes,Observation (Collar),USA,Superior National Forest in northeastern Minnesota,47.91827747,-90.54700315,numeric,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,Hab fragmentation,,
AS,Sarmento and Berger 2017,Oreamnos americanus,mountain goat,Yes,Observation (Collar),USA,"Glacier NP, Montana",48.65790092,-113.721304,res-mig ratio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,human Predator: non-fatal,,,
AS,Weydemeyer 1928,Odocoileus hemionus,mule deer,No,Opinion/Anecdotal,USA,"eastern Lincoln County, Montana (valley of the Tobacco River)",48.81158048,-114.9711296,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Mngt: supplementary feeding,,,
CA,Schoen and Kirchhoff 1985,Odocoileus hemionus,mule deer,Yes,Observation (Collar),USA,"Admiralty Island, Alaska",57.7132427,-134.4097766,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Climate/Weather: Interannual env variations,,,
AVS,White et al 2014,Alces alces,moose,Yes,Observation (Collar),USA,southeastern Alaska (east of Glacier Bay),58.47342513,-135.7043797,res-mig ratio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,non-human predator,,,
AVS,Hinkes et al 2005,Rangifer tarandus,caribou,Yes,Observation (Collar),USA,"Bering Seacoast from Norton Sound to Bristol Bay, southwest Alaska",59.87889835,-156.5700431,numeric,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Pop: population density,,,
AVS,Nellemann and Cameron 1998,Rangifer tarandus,caribou,Yes,Empirical (including modelling w/ data),USA,northern Alaska (near Prudhoe Bay),69.85683729,-148.7246994,demographic,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Hab Loss: Development,,,
SM,Jesmer et al. 2018,Alces alces,moose,Yes,Empirical (including modelling w/ data),USA,"North Park, Colorado",40.958778,-106.293735,res-mig ratio,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Mngt: translocation,Pop: social learning,,
SM,Jesmer et al. 2018,Ovis canadensis,bighorn sheep,Yes,Empirical (including modelling w/ data),USA,Devil's Canyon Wyoming,44.929471,-108.256502,res-mig ratio,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Mngt: translocation,Pop: social learning,,
SM,Jesmer et al. 2018,Ovis canadensis,bighorn sheep,Yes,Empirical (including modelling w/ data),USA,"Lemhi Creek, Idaho",45.424312,-115.361013,res-mig ratio,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Mngt: translocation,Pop: social learning,,
SM,Jesmer et al. 2018,Ovis canadensis,bighorn sheep,Yes,Empirical (including modelling w/ data),USA,"Seminoe, Wyoming",42.141138,-106.896497,res-mig ratio,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Mngt: translocation,Pop: social learning,,
SM,Wyckoff et al 2018,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"Pinedale, WY",42.75882034,-109.9146121,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,,,
SM,Wyckoff et al 2018,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"Rawlins, WY",42.141138,-106.896497,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,,,
SM,Wyckoff et al 2018,Odocoileus hemionus,mule deer,Yes,Empirical (including modelling w/ data),USA,"Saratoga, WY",40.958778,-106.293735,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hab Loss: Development,,,
